cinema
cinema;;;;;;;;;;
Tableau 1;;;;;;;;;;
2020;Total;4 348 555;600 875;13,8;2 289 100;52,6;1 318 708;30,3;139 872;3,2
2020;Suisse alémanique;3 054 165;521 246;17,1;1 595 359;52,2;832 084;27,2;105 476;3,5
2020;Suisse romande;1 199 705;76 755;6,4;640 959;53,4;451 055;37,6;30 936;2,6
2020;Suisse italienne;94 685;2 874;3,0;52 782;55,7;35 569;37,6;3 460;3,7
;;;;;;;;;;
1) Europe: États membres du Conseil de l’Europe (sauf la Suisse). UE: États membres de l’Union européenne (état en février 2020);;;;;;;;;;
;;;;;;;;;;
Source: Office fédéral de la statistique, Statistique du film et du cinéma;;;;;;;;;;
© OFS 2021;;;;;;;;;;
;;;;;;;;;;
Renseignements: 058 463 61 58, poku@bfs.admin.ch;;;;;;;;;;
;;;;;;;;;;
Actualisé le 23.03.2021;;;;;;;;;;
